Luzian;Franzini;Zug;KR;3;LF_6123;0;Ökonom, Co-Generalsekretär VSS ;ledig;"https://twitter.com/luzian_franzini; https://www.instagram.com/luzian_franzini/; https://www.facebook.com/luzian.franzini";Kantonsrat Stadt Zug;"Vorstand Pro Velo Zug;Präsident Gewerkschaftsbund Kanton Zug;Vorstand VPOD Zug;Mitglied SAC Rossberg;Mitglied Letzibuzäli;Mitglied Benevol Zug";Klimaschutz, bezahlbarer Wohnraum, Gleichstellung: Für ein Zug, dass die Herausforderungen der nächsten Jahre anpackt.;1
Stéphanie;Vuichard;Zug;KR;5;SV_6626.psd;Ich setze mich für Umweltanliegen in der Politik ein, sowie für ein attraktives, bezahlbares und nachhaltiges Zug.;Umweltwissenschaftlerin;;https://www.facebook.com/stephanie.vuichard;"Kantonsrat;Parteipräsident";"Pfadi Kanton Zug;Swing Classic Big Band Cham;Pro Natura Zug";;1
Tabea;Zimmermann;Zug;KR;7;TZ_6113.psd;Ich will die Herausforderungen unserer Zeit wie den Klimawandel, die Chancengerechtigkeit und der soziale Zusammenhalt mit konkreten Schritten angehen - Zäme für Zuekunft.;Kantonsschullehrerin für Englisch, lic. phil. I;Verheiratet mit zwei Erwachsenen Söhnen;"https://twitter.com/TZimmermannG; https://www.instagram.com/tzimmermanng/; https://www.facebook.com/tabea.zimmermanngibson; www.tabeazimmermann.ch; ";"Präsidentin Grosser Gemeinderat Zug;Kantonsrätin;Fraktionschefin;Mitglied Grosser Gemeinderat Zug";"Präsidentin Nachbarschaftshilfe KISS Genossenschaft Zug;Stiftungsrat Stiftung Doku-Zug;Letzibuzäli Zunft;ad-hoc Mitglied Cham-Hünenberg Orchester und Orchester Kirchenchor Hünenberg";;1
Julia;Küng;Zug;KR;10;JK_6217.psd;Klima ohne Krise, dafür mit sozialer Gerechtigkeit. Handeln wir jetzt!;"Studentin Psychologie und Geschichte;Vize-Präsidentin GRÜNE Schweiz";;"https://www.instagram.com/kueng.julia/ ; https://twitter.com/julia_kueng?lang=en; https://www.facebook.com/julia.kung.182; https://www.linkedin.com/in/julia-k%C3%BCng-0999b9223/";"Co-Präsidentin Junge Grüne Schweiz;Vize-Präsidentin GRÜNE Schweiz;Vorstand Junge Alternative Zug";"Klimastreik Zug;feministisches Streikkollektiv Zug;Syndicom";;0
Delia;Meier;Zug;KR;11;DM_6189;Für ein ökologisches und solidarisches Zug!;"Studentin Chemie;Co-Präsidentin Junge Alternative Zug";;"https://www.instagram.com/meier.delia/; https://twitter.com/deliameier_";;Co-Präsidentin Zuger Transparenzinitiative;;0
Nicolas;Lemaitre;Zug;KR;12;NL_6014;Technologie hat erst dazu geführt, dass wir die planetaren Grenzen um ein vielfaches überschritten haben. Nun kann sie der Schlüssel sein, diese wieder einzuhalten, sodass auch künftige Generationen einen lebenswerten Lebensraum haben.;IT-Projektleiter;Verheiratet mit zwei Kindern;;;"Freiwillige Feuerwehr Zug;Tixi Zug";;0
Oria;Cudicio;Zug;KR;13;OC_6048;Mit Alternativen kommen wir weiter!;Lehrerin, Psychologin;2 Kinder;;Mitglied Schulkommission Zug;;;0
Florence;Hartmann;Zug;KR;14;FH_7792;Ich setzte mich ein für eine soziale und nachhaltige Stadt Zug, die lebenswert und bezahlbar für alle bleibt.;Finanzmarktanalystin;;https://www.instagram.com/florence.provence/;;Kassierin Orchester Cham-Hünenberg;;0
Magdalena;Carlen;Zug;KR;15;MC_6559;Ich möchte mich für eine klimafreundliche, feministische und soziale Politik einsetzten.;Pflegefachfrau HF;Verheiratet mit 3 Kindern;;;"Feministisches Frauenstreikkollektiv Zug;Pflegeausschuss Unia;Trachtenchor Zug;Pflegegruppe Zug Unia;Pflegedurchbruch";"Mir ist der Respekt vor der Natur, die Gleichstellung, die Gesundheit der Kinder und Jugendlichen, die Familie, das Gesundheitswesen, die Bezahlung von Care-Arbeit und die Selbstständigkeit von älteren Menschen und Menschen mit Beeinträchtigung wichtig.
I";0
Tekla;Hahin;Zug;KR;16;TH_7755;Mein Herz schlägt für die Gleichstellung und Toleranz anderen gegenüber.;Oberstufenlehrperson;;https://www.instagram.com/teklahahin/;;;Ein offenes Ohr und Empathie entschärft Konflikte und weckt die Neugier und Zuversicht auf kreative Lösungen.;0
Michele;Willimann;Zug;KR;17;MW_7884;0;Raumplanerin MSc ETH;;https://www.instagram.com/michele.willimann/;"Mitglied Grosser Gemeinderat Zug;Mitglied Bau- und Planungskommission Stadt Zug";Präsidentin Orchester Cham-Hünenberg;;1
